keyword,count_now,count_base,ratio,viral_score,sources,n_sources,sample_title,detected_at
noche,3,3,9.47,100,"elmundo, okdiario, eldiario",3,"Morrissey anula su concierto en Valencia tras una noche sin dormir a causa de las Fallas: ""El ruido lo ha dejado en estado catatónico""",2026-03-12 15:03
radić,3,0,5.0,100,"elcorreo, google_news_es, elpais",3,El Nobel de Arquitectura premia la «originalidad radical» del chileno Smiljan Radić Clarke,2026-03-12 15:03
contener,3,1,28.41,100,"europapress, elespanol",2,Cuerpo anuncia medidas fiscales para contener el precio de la energía y ayudas al campo y al transporte,2026-03-12 15:03
fiscales,5,5,9.47,100,"europapress, elcorreo, elespanol, levante_emv",4,Cuerpo anuncia medidas fiscales para contener el precio de la energía y ayudas al campo y al transporte,2026-03-12 15:03
cuerpo,3,3,9.47,100,"europapress, elespanol",2,Cuerpo anuncia medidas fiscales para contener el precio de la energía y ayudas al campo y al transporte,2026-03-12 15:03
ayudas,5,4,11.84,100,"20minutos, europapress, elcorreo, eldiario, elespanol",5,Las ayudas para cambiar los coches sin etiqueta en Madrid arrancan en abril: estas son las subvenciones por los CERO y los ECO,2026-03-12 15:03
fútbol,3,4,7.1,100,"okdiario, elespanol",2,Un hombre huye de la Policía e irrumpe con un cuchillo en un partido de fútbol de niños en Málaga,2026-03-12 15:03
agresión,3,2,14.21,100,"levante_emv, maldita",2,Detenido en Leganés un enfermero de instituto por presunta agresión sexual y corrupción de menores,2026-03-12 15:03
escudo,3,0,5.0,100,"levante_emv, eldiario",2,Desahucios sin escudo social: Los fondos buitre dejan en la calle a más de 30 familias en València,2026-03-12 15:03
australia,3,1,28.41,100,"okdiario, lavanguardia",2,Hito revolucionario en la industria energética: Australia crea una máquina que transforma CO2 en combustible para aviones,2026-03-12 15:03
entrenamiento,3,0,5.0,100,"elpais, okdiario, levante_emv",3,Alarma en el Atlético: Barrios se retira del entrenamiento por molestias musculares,2026-03-12 15:03
cerrado,4,0,5.0,100,"elcorreo, lavanguardia, huffington_es",3,Última hora de la guerra en Oriente Medio | El nuevo líder supremo mantendrá cerrado el estrecho de Ormuz y dice que «vengará la sangre de los mártir,2026-03-12 15:03
transporte,3,4,7.1,100,"europapress, elcorreo, eldiario",3,Cuerpo anuncia medidas fiscales para contener el precio de la energía y ayudas al campo y al transporte,2026-03-12 15:03
smiljan,3,0,5.0,100,"elcorreo, google_news_es, elpais",3,El Nobel de Arquitectura premia la «originalidad radical» del chileno Smiljan Radić Clarke,2026-03-12 15:03
chileno,3,0,5.0,100,"elcorreo, google_news_es, elpais",3,El Nobel de Arquitectura premia la «originalidad radical» del chileno Smiljan Radić Clarke,2026-03-12 15:03
sangre,4,0,5.0,100,"elespanol, okdiario, elcorreo",3,"Jamenei amenaza con mantener el bloqueo del estrecho de Ormuz y promete vengar ""la sangre de los mártires"" de Irán",2026-03-12 15:03
mantener,3,1,28.41,100,"elpais, elespanol",2,"Última hora del ataque de EE UU e Israel contra Irán, en directo | El nuevo líder supremo de Irán afirma que debe mantener el cierre de Ormuz para “presionar al enemigo”",2026-03-12 15:03
líder,8,3,25.25,100,"elpais, elcorreo, lavanguardia, huffington_es, okdiario",5,"Última hora del ataque de EE UU e Israel contra Irán, en directo | El nuevo líder supremo de Irán afirma que debe mantener el cierre de Ormuz para “presionar al enemigo”",2026-03-12 15:03
estrecho,4,8,4.74,94,"elespanol, elcorreo, huffington_es",3,"Jamenei amenaza con mantener el bloqueo del estrecho de Ormuz y promete vengar ""la sangre de los mártires"" de Irán",2026-03-12 15:03
generalitat,4,8,4.74,94,"elcorreo, levante_emv, eldiario, 20minutos",4,La Generalitat catalana se propone acabar con todos los jabalís de la zona de alto riesgo de peste porcina,2026-03-12 15:03
campo,3,6,4.73,94,"europapress, elcorreo, eldiario",3,Cuerpo anuncia medidas fiscales para contener el precio de la energía y ayudas al campo y al transporte,2026-03-12 15:03
ormuz,7,17,3.9,77,"elpais, elespanol, elcorreo, lavanguardia, huffington_es",5,"Última hora del ataque de EE UU e Israel contra Irán, en directo | El nuevo líder supremo de Irán afirma que debe mantener el cierre de Ormuz para “presionar al enemigo”",2026-03-12 15:03
última,4,10,3.79,75,"elpais, elcorreo",2,"Última hora del ataque de EE UU e Israel contra Irán, en directo | El nuevo líder supremo de Irán afirma que debe mantener el cierre de Ormuz para “presionar al enemigo”",2026-03-12 15:03
atlético,3,8,3.55,71,"elpais, okdiario, 20minutos",3,Alarma en el Atlético: Barrios se retira del entrenamiento por molestias musculares,2026-03-12 15:03
nuevo,10,30,3.16,63,"elcorreo, elpais, lavanguardia, huffington_es, eldiario",5,"El nuevo DAO promete revisar los protocolos antiacoso, tras la acusación de violación a su predecesor",2026-03-12 15:03
ataque,3,10,2.84,56,"elpais, lavanguardia",2,"Última hora del ataque de EE UU e Israel contra Irán, en directo | El nuevo líder supremo de Irán afirma que debe mantener el cierre de Ormuz para “presionar al enemigo”",2026-03-12 15:03
supremo,5,18,2.63,52,"elpais, elcorreo, lavanguardia, huffington_es",4,"Última hora del ataque de EE UU e Israel contra Irán, en directo | El nuevo líder supremo de Irán afirma que debe mantener el cierre de Ormuz para “presionar al enemigo”",2026-03-12 15:03
precio,5,19,2.49,49,"huffington_es, europapress, elespanol, lavanguardia",4,"Malas noticias para golosos: el cacao y el azúcar bajarán de precio, pero no a tiempo para las torrijas de Semana Santa",2026-03-12 15:03
